# code: kr
# key, value

language_name,한글
translator,fjordic

# menu bar
file,파일
new,새로
open,열어
open_recent,최근열어
clear,없애
save,저장
save_as,다른이름으로저장
export_sus,SUS로내보내기
export_usc,USC로내보내기
exit,퇴거
edit,교정
undo,실행취소
redo,다시할
select_all,모두선택
view,보다
settings,설정
window,표시화면
vsync,VSync
show_fps,FPS표시
debug,디버그
create_auto_save,자동저장생성
help,헤럽
about,근

# dialogs
file_not_found,파일을 찾을 수 없습니다
file_not_found_msg1,파일을 찾을 수 없습니다
file_not_found_msg2,
remove_recent_file_not_found,최근 파일 목록에서 제거하시겠습니까?
yes,예
no,아니요
unsaved_changes,저장되지않은변경사항
ask_save,변경 사항을 저장하다?
warn_unsaved,저장되지 않은 변경 사항은 손실됩니다.
save_changes,저장
discard_changes,버리
update_available,업데이트가 있습니다!
update_available_description,%s 사용할 수 있습니다. 브라우저에서 열까요?
score_file,점수 파일
error,오류
error_load_score_file,악보 파일을 읽는 중 오류가 발생했습니다.
error_load_music_file,음악 파일을 열 수 없습니다.
cancel,취소
general,일반
key_config,키 구성
language,언어
auto,자동
auto_save,자동 저장
auto_save_enable,자동 저장 활성화됨
auto_save_interval,자동 저장 간격(분)
auto_save_count,최대 자동 저장 항목
accent_color,액센트 컬러
accent_color_help,적용할 강조 색상을 선택하세요. 첫 번째 슬롯은 아래 색상 컨트롤을 통해 맞춤 설정할 수 있습니다.
select_accent_color,강조 색상을 선택하세요.
display_mode,디스플레이 모드
theme,주제
base_theme,기본 테마
theme_light,빛
theme_dark,어두운
custom_color,맞춤 색상
timeline,타임라인
match_notes_size_to_timeline,노트 크기를 타임라인에 일치시키세요
lane_width,차선 폭
notes_height,노트 높이
scrolling,스크롤
scroll_speed_normal,스크롤 속도
scroll_speed_shift,스크롤 속도(시프트)
use_smooth_scroll,부드러운 스크롤 사용
smooth_scroll_time,부드러운 스크롤 시간
return_to_last_tick,일시 정지 시 마지막 틱으로 돌아가기
cursor_auto_scroll,커서 자동 스크롤
cursor_auto_scroll_amount,타임라인의 커서 자동 스크롤 비율
background,배경
background_image,배경 이미지
draw_background,배경 이미지 그리기
background_brightnes,배경 밝기
lanes_opacity,차선 불투명도
video,비디오
notes_se,노투 사운드 효과
show_tick_in_properties,속성에 체크 표시
translation_by,%s님의 번역

# score editor
options,옵션
chart_properties,차트 속성
note_properties,노트 속성
notes_timeline,노트 타임라인
select,선택
tap,흡기음
hold,홀드
hold_step,중간 홀드
flick,플릭
critical,황금의
trace,트라세우
guide,가이드
damage,다메즈
bpm,BPM
time_signature,박자표
none,없음
default,기본
left,왼쪽
right,오른쪽
normal,정상
hidden,숨겨진
skip,스킵
linear,선의
ease_in,안쪽으로 편하게
ease_out,바깥쪽으로 편하게
ease_in_out,안쪽으로 바깥쪽으로 편하게
ease_out_in,바깥쪽으로 안쪽으로 편하게
delete,삭제
copy,복사
cut,삭감
paste,반죽
flip_paste,플립 페이스트
duplicate,복제하다
flip_duplicate,플립 복제하다
flip,플립
note_width,노트 너비
shrink_down,축소하다
shrink_up,움츠러들다
connect_holds,연결하다
split_hold,분할 파악
lerp_hispeeds,보간 고속
repeat_hold_mids,중간 홀드 반복
step_type,중간 홀드 유형
ease_type,용이성 유형
flick_type,플릭 유형
hold_type,홀드형
fade_type,페이드 유형
metadata,메타데이터
title,제목
designer,디자이너
artist,아티스트
jacket,표지
lane_extension,차선 확장
audio,오디오
music_file,음악 파일
music_offset,음악 오프셋
volume_master,주요 볼륨
volume_bgm,BGM 볼륨
volume_se,음향 효과 볼륨
statistics,통계
taps,흡기음
flicks,플릭
holds,홀드
steps,중간 홀드
traces,트라세우
total,총
combo,콤보
goto_measure,측정하러 가다
division,%d 분할
division_affix,%d 분할
custom,관습
custom_division,맞춤 구분
snap_mode,스냅 모드
snap_mode_relative,상대 스냅 모드
snap_mode_absolute,절대 스냅 모드
snap_mode_individual_absolute,개별 절대 스냅 모드
zoom,줌
show_step_outlines,중간 보류 윤곽선 표시
draw_waveform,파형 표시
edit_bpm,BPM 수정
tick,티크
remove,제거하다
edit_time_signature,박자표 편집
measure,규준
skill,
increase_note_size,노트 크기 늘리기
decrease_note_size,노트 크기 줄이기
hi_speed,Hi-Speed
