# code: tr
# key, value

language_name, Turkish
translator, sctech-tr

# menu bar
file, Dosya
new, Yeni
open, Aç
open_recent, Yakin zamanda düzenlenmis dosyayi aç
clear, Temizle
save, Kaydet
save_as, Farkli Kaydet
export_sus, SUS olarak disari aktar...
export_usc, USC olarak disari aktar...
exit, Çik
edit, Düzenle
undo, Geri al
redo, Ileri al
select_all, Hepsini seç
view, Görüntüle
settings, Ayarlar
window, Pencere
vsync, VSync
show_fps, FPS'i göster
debug, Hata ayiklama
create_auto_save, Otomatik kaydet
help, Yardim
about, Hakkinda

# dialogs
file_not_found, Dosya bulunamadi
file_not_found_msg1, Dosya
file_not_found_msg2, bulunamadi
remove_recent_file_not_found, En son açilanlar listesinden kaldirmak istiyor musunuz?
yes, Evet
no, Hayir
unsaved_changes, Kaydedilmemis degisiklikler
ask_save, Degisiklikler kaydedilsin mi?
warn_unsaved, Kaydedilmeyen degisiklikler kaybolacaktir.
save_changes, Degisiklikleri kaydet
discard_changes, Degisiklikleri saklama
update_available, Yeni bir versiyon kullanilabilir!
update_available_description, %s mevcuttur. Tarayicinizda açmak ister misiniz?
score_file, Puan dosyasi
error, Hata
error_load_score_file, Puan dosyasini okurken bir hata olustu
error_load_music_file, Müzik dosyasi açilamiyor
cancel, Iptal
general, Genel
key_config, Tus konfigurasyonu
language, Lisan
minify_usc, USC'yi küçültün
show_sus_export, SUS seklinde disari aktarmaya izin verin
auto, Otomatik
auto_save, Otomatik kayit
auto_save_enable, Otomatik kayit açildi
auto_save_interval, Otomatik kayit arasi (dk)
auto_save_count, Maksimum otomatik kayit limiti
accent_color, Vurgu rengi
accent_color_help, Bir vurgu rengi seçin. Ilk slot asagidaki renk kontrollerinden özellestirilebilir.
select_accent_color, Bir vurgu rengi seçin.
display_mode, Görünüm modu
theme, Tema
base_theme, Temel tema
theme_light, Açik
theme_dark, Koyu
custom_color, Özel renk
timeline, Zaman çizelgesi
match_notes_size_to_timeline, Not boyutunu zaman çizelgesinin genisligine göre eslestir
lane_width, Yol genisligi
notes_height, Not yüksekligi
scrolling, Kaydirma
scroll_speed_normal, Kaydirma Hizi
scroll_speed_shift, Kaydirma Hizi (Shift)
use_smooth_scroll, Yumusak kaydirmayi kullan
smooth_scroll_time, Yumusak kaydirma süresi
return_to_last_tick, Duraklatildiginda Son Tikiye Dön
cursor_auto_scroll, Imleç Otomatik Kaydirma
cursor_auto_scroll_amount, Imleç Otomatik Kaydirma Yüzdesi
background, Arka plan
background_image, Arka plan resmi
draw_background, Arka plan resmini çiz
background_brightnes, Arka Plan Parlakligi
lanes_opacity, Yol Opakligi
video, Video
notes_se, Not SE
show_tick_in_properties, Not Özellikleri Penceresinde Tik Göster
translation_by, Çeviren: %s

# score editor
options, Seçenekler
chart_properties, Grafik Özellikleri
note_properties, Nota Özellikleri
notes_timeline, Notalar Zaman Çizelgesi
select, Seç
tap, Dokun
hold, Basili Tut
hold_step, Ortasina Basili Tut
flick, Firlat
critical, Kritik
trace, Iz
guide, Kilavuz
damage, Hasar
bpm, BPM
time_signature, Zaman Imzasi
none, Yok
default, Varsayilan
left, Sol
right, Sag
normal, Normal
hidden, Gizli
skip, Atlama
linear, Lineer
ease_in, Yavasça Gir
ease_out, Yavasça Çik
ease_in_out, Yavasça Gir ve Çik
ease_out_in, Yavasça Çik ve Gir
delete, Sil
copy, Kopyala
cut, Kes
paste, Yapistir
flip_paste, Çevir ve Yapistir
duplicate, Kopyasini Olustur
flip_duplicate, Çevir ve Kopyasini Olustur
flip, Çevir
note_width, Nota Genisligi
shrink_down, Küçült
shrink_up, Büyüt
connect_holds, Basili Tutma Bagla
split_hold, Basili Tutmayi Böl
lerp_hispeeds, Hi-Speed'leri Arastir
repeat_hold_mids, Basili Tutma Ortalarini Tekrarla
step_type, Basili Tutma Türü
ease_type, Yavaslama Türü
flick_type, Firlatma Türü
hold_type, Basili Tutma Türü
fade_type, Solma Türü
metadata, Meta veri
title, Baslik
designer, Tasarimci
artist, Sanatçi
jacket, Kapak
lane_extension, Yol Uzantisi
audio, Ses
music_file, Müzik Dosyasi
music_offset, Müzik Kaydirma
volume_master, Ana Ses
volume_bgm, BGM Ses
volume_se, SE Ses
statistics, Istatistikler
taps, Dokunuslar
flicks, Firlatmalar
holds, Basili Tutmalar
steps, Basili Tutma Ortalari
traces, Izler
total, Toplam
combo, Kombinasyon
goto_measure, Ölçüye Git
division, %d Bölüm
division_affix, %d Bölüm
custom, Özellestir
custom_division, Özellestirilmis Bölüm
snap_mode, Snap
snap_mode_relative, Göreceli Snap
snap_mode_absolute, Mutlak Snap
snap_mode_individual_absolute, Bireysel Mutlak Snap
zoom, Yakinlastir
show_step_outlines, Basili Tutma Ortasi Çizgilerini Göster
draw_waveform, Dalga Formunu Göster
edit_bpm, BPM'i Düzenle
tick, Tik
remove, Kaldir
edit_time_signature, Zaman Imzasini Düzenle
measure, Ölçü
skill, Beceri
increase_note_size, Nota Boyutunu Artir
